"Assembly","FullName","BaseType","PublicParameterlessConstructor"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Bars.ToolbarContainerLayoutPanel","Avalonia.Controls.Panel","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Bars.ToolbarControlDragThumb","Avalonia.Controls.Primitives.Thumb","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Bars.ToolbarEditorItem","Eremex.AvaloniaUI.Controls.Bars.ToolbarItem","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Bars.ToolbarItem","Avalonia.Controls.Primitives.TemplatedControl","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Bars.ToolbarItemDragWindow","Avalonia.Controls.Primitives.Popup","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Bars.ToolbarItemGroup","Eremex.AvaloniaUI.Controls.Bars.ToolbarItem","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Bars.ToolbarItemImage","Avalonia.Controls.Image","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Bars.ToolbarLayoutPanel","Avalonia.Controls.Panel","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Bars.ToolbarManager","Avalonia.Controls.Border","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Bars.ToolbarMenuItem","Eremex.AvaloniaUI.Controls.Bars.ToolbarButtonBaseItem","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Bars.ToolbarSeparatorItem","Eremex.AvaloniaUI.Controls.Bars.ToolbarItem","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Bars.ToolbarTextItem","Eremex.AvaloniaUI.Controls.Bars.ToolbarItem","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Common.CircleProgressIndicator","Eremex.AvaloniaUI.Controls.Common.ProgressIndicator","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Common.Internal.SplitPanelBase","Avalonia.Controls.Panel","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Common.Internal.SplitPanelLayoutSplitterBase","Avalonia.Controls.Primitives.Thumb","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Common.MxSplitButton","Avalonia.Controls.ContentControl","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Common.MxVirtualizingControl","Avalonia.Controls.Control","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Common.MxWindow","Avalonia.Controls.Window","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Common.ProgressIndicator","Avalonia.Controls.Primitives.TemplatedControl","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Common.ResizeablePopup","Avalonia.Controls.Primitives.Popup","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.DataControl.Visuals.AutoFilterCellControl","Eremex.AvaloniaUI.Controls.DataControl.Visuals.CellControl","False"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.DataControl.Visuals.AutoFilterConditionComboBoxEditor","Eremex.AvaloniaUI.Controls.Editors.ComboBoxEditor","True"
